source_row,basin_index,downstream_anchor,upstream_ids_raw,directions_raw,parsed_direction_count,matched_direction_ids,unmatched_direction_tokens,defaulted_to_top,reason_if_defaulted
115,2,J116,IN141,IN141 TOP,1,IN_141,,false,
116,2,J115,"J113.2, J114, J114.2","J114.2 RIGHT, J114 TOP, J113.2 LEFT",3,J_114_2|J_114|J_113_2,,false,
117,2,J114.2,"J114.1, IN139","J114.1 TOP, IN139 RIGHT",2,J_114_1|IN_139,,false,
118,2,J114.1,IN138,IN138 TOP,1,IN_138,,false,
119,2,J114,"IN137.1, IN137","IN137.1 RIGHT, IN137 LEFT",2,IN_137_1|IN_137,,false,
120,2,J113.2,"J113.1, IN140","IN140 LEFT, J113.1 TOP",2,IN_140|J_113_1,,false,
121,2,J113.1,"J113, IN136","IN136 RIGHT, J113 TOP",2,IN_136|J_113,,false,
122,2,J113,"IN135, J112","IN135 TOP, J112 45 DEGREES TOP LEFT",2,IN_135|J_112,,false,
123,2,J112,"IN134, IN133","IN133 LEFT, IN134 RIGHT",2,IN_133|IN_134,,false,
124,2,J111,"IN131, IN132, J110.3","IN131 LEFT, IN132 RIGHT, J110.3 TOP",3,IN_131|IN_132|J_110_3,,false,
125,2,J110.3,"IN130.4, IN130.5, J110.2","J110.2 TOP, IN130.5 RIGHT, IN130.4 LEFT",3,J_110_2|IN_130_5|IN_130_4,,false,
126,2,J110.2,"J110.1, J110","J110 45 DEGREES TOP RIGHT, J110.1 LEFT",2,J_110|J_110_1,,false,
127,2,J110.1,"IN130.2, IN130.3","IN130.3 LEFT, IN130.2 RIGHT",2,IN_130_3|IN_130_2,,false,
128,2,J110,"J108.4, J109.2","J109.2 45 DEGREES TOP RIGHT, J108.4 45 DEGREES TOP LEFT",2,J_109_2|J_108_4,,false,
129,2,J109.2,"IN130, IN130.1, J109.1","J109.1 LEFT, IN130 TOP, IN130.1 RIGHT",3,J_109_1|IN_130|IN_130_1,,false,
130,2,J109.1,"IN129.2, J109","J108 TOP, IN129.2 RIGHT",2,J_108|IN_129_2,,false,
131,2,J109,"IN129, IN129.1","IN129 LEFT, IN129.1 RIGHT",2,IN_129|IN_129_1,,false,
132,2,J108.4,"J107, J108.1, J108.3","J108.3 RIGHT, J108.1 LEFT, J107 TOP",3,J_108_3|J_108_1|J_107,,false,
133,2,J108.3,"J108.2, IN128.2","IN128.2 LEFT, J108.2 TOP",2,IN_128_2|J_108_2,,false,
134,2,J108.2,"IN128, IN128.1","IN128 TOP, IN128.1 RIGHT",2,IN_128|IN_128_1,,false,
135,2,J108.1,"J108, IN127.2","IN127.2 RIGHT, J108 TOP",2,IN_127_2|J_108,,false,
136,2,J108,"IN127, IN127.1","IN127 TOP, IN127.1 LEFT",2,IN_127|IN_127_1,,false,
137,2,J107,"J106, J104, J101.1","J101.1 TOP, J106 LEFT, J104 RIGHT",3,J_101_1|J_106|J_104,,false,
138,2,J106,"IN125, IN126, J105.4","J105.4 TOP, IN125 RIGHT, IN126 LEFT",3,J_105_4|IN_125|IN_126,,false,
