basin_index,source_row,raw_id,swmm_id,receiving_junction_swmm_id,known_flow_cfs,flow_present,lateral_length_ft,lateral_slope,lateral_diameter_in,rim_elev,invert_elev,notes_applied
,181,75.5,IN_75_5,,1.1457541743890431,true,5,0.002,24,,,uniform lateral assumptions
,,75.6,IN_75_6,,,false,5,0.002,24,,,uniform lateral assumptions
,186,76,IN_76,J_70,2.058522293474026,true,5,0.002,24,398.37,389.48,uniform lateral assumptions
,,76.1,IN_76_1,,,false,5,0.002,24,,,uniform lateral assumptions
,187,76.2,IN_76_2,J_70,0.2855009694720444,true,5,0.002,24,398.37,389.48,uniform lateral assumptions
,192,76.3,IN_76_3,,0.730830974256652,true,5,0.002,24,,,uniform lateral assumptions
,195,76.41,IN_76_41,J_70_3,0.602460951886546,true,5,0.002,24,397.5,387.76,uniform lateral assumptions
,196,76.42,IN_76_42,J_70_3,2.1399941008626926,true,5,0.002,24,397.5,387.76,uniform lateral assumptions
,,76.43,IN_76_43,,,false,5,0.002,24,,,uniform lateral assumptions
,201,76.5,IN_76_5,,3.6942576946988943,true,5,0.002,24,,,uniform lateral assumptions
,204,77,IN_77,,1.1101931999305445,true,5,0.002,24,,,uniform lateral assumptions
,,77.1,IN_77_1,,,false,5,0.002,24,,,uniform lateral assumptions
,208,77.2,IN_77_2,,1.0422228698709426,true,5,0.002,24,,,uniform lateral assumptions
,212,77.3,IN_77_3,J_71_5,0.8077860457735805,true,5,0.002,24,397.77,389.88,uniform lateral assumptions
,,77.4,IN_77_4,,,false,5,0.002,24,,,uniform lateral assumptions
,215,77.5,IN_77_5,,0.519103946008208,true,5,0.002,24,,,uniform lateral assumptions
,,77.6,IN_77_6,,,false,5,0.002,24,,,uniform lateral assumptions
,223,79,IN_79,J_75,1.5327021670167063,true,5,0.002,24,392.24,377.99,uniform lateral assumptions
,25,8,IN_8,J_5,3.143511937193623,true,5,0.002,24,424.09,417.28,uniform lateral assumptions
,224,80,IN_80,J_75,1.215933351548682,true,5,0.002,24,392.24,377.99,uniform lateral assumptions
,225,81,IN_81,J_75,0.9122947254203086,true,5,0.002,24,392.24,377.99,uniform lateral assumptions
,228,82,IN_82,J_76,0.736722116015266,true,5,0.002,24,391.26,384.32,uniform lateral assumptions
,234,83,IN_83,J_78,2.989263724951318,true,5,0.002,24,411.37,405.24,uniform lateral assumptions
,236,84,IN_84,,2.1350414153554085,true,5,0.002,24,,,uniform lateral assumptions
,239,85,IN_85,J_79,3.11859268781484,true,5,0.002,24,409.13,401.76,uniform lateral assumptions
,240,86,IN_86,J_79,0.8309712548782374,true,5,0.002,24,409.13,401.76,uniform lateral assumptions
,243,87,IN_87,J_81,1.8266384276856453,true,5,0.002,24,405.98,398.11,uniform lateral assumptions
,244,88,IN_88,J_81,1.9434359625458868,true,5,0.002,24,405.98,398.11,uniform lateral assumptions
,246,89,IN_89,,2.683201623092343,true,5,0.002,24,,,uniform lateral assumptions
,27,9,IN_9,J_6,1.267685759412265,true,5,0.002,24,425.17,415.9,uniform lateral assumptions
,248,90,IN_90,J_82,0.3206182960293739,true,5,0.002,24,406.14,396.62,uniform lateral assumptions
,249,91,IN_91,J_82,0.20669885692957043,true,5,0.002,24,406.14,396.62,uniform lateral assumptions
,251,92,IN_92,J_83,1.3705751225348233,true,5,0.002,24,402.5,393.44,uniform lateral assumptions
,252,93,IN_93,J_83,0.4408443021631194,true,5,0.002,24,402.5,393.44,uniform lateral assumptions
,254,94,IN_94,J_83_1,1.1886620254501854,true,5,0.002,24,402.75,393.44,uniform lateral assumptions
,257,95,IN_95,,2.411561031005961,true,5,0.002,24,,,uniform lateral assumptions
,259,96,IN_96,,2.6280346374350567,true,5,0.002,24,,,uniform lateral assumptions
,261,97,IN_97,J_85,2.3468108840590913,true,5,0.002,24,409.0,399.84,uniform lateral assumptions
,264,98,IN_98,J_86,7.445870011315445,true,5,0.002,24,404.95,398.59999999999997,uniform lateral assumptions
,265,99,IN_99,J_86,1.5095661163978313,true,5,0.002,24,404.95,398.59999999999997,uniform lateral assumptions
