basin_index,from_raw,from_swmm_id,to_raw,to_swmm_id,edge_type,parsed_successfully,built_successfully,blocker_reason,direction_token_used,source_branch_logic_row
2,J126,J_126,J127,J_127,JJ,true,true,,TOP,104
2,J124,J_124,J127,J_127,JJ,true,true,,TOP,104
2,IN153,IN_153,J126,J_126,IJ,true,true,,TOP,105
2,IN154,IN_154,J126,J_126,IJ,true,true,,TOP,105
2,IN151,IN_151,J124,J_124,IJ,true,true,,TOP,107
2,J122,J_122,J123,J_123,JJ,true,true,,TOP,108
2,IN148,IN_148,J122,J_122,IJ,true,true,,TOP,109
2,IN149,IN_149,J122,J_122,IJ,true,true,,TOP,109
2,J120,J_120,J121,J_121,JJ,true,true,,TOP,110
2,IN147,IN_147,J121,J_121,IJ,true,true,,TOP,110
2,J118,J_118,J119,J_119,JJ,true,true,,TOP,112
2,IN144,IN_144,J118,J_118,IJ,true,true,,TOP,113
2,IN145,IN_145,J118,J_118,IJ,true,true,,TOP,113
2,J116,J_116,J117,J_117,JJ,true,true,,TOP,114
2,J115,J_115,J117,J_117,JJ,true,true,,TOP,114
2,J113.2,J_113_2,J115,J_115,JJ,true,true,,TOP,116
2,J114.2,J_114_2,J115,J_115,JJ,true,true,,TOP,116
2,IN139,IN_139,J114.2,J_114_2,IJ,true,true,,TOP,117
2,IN137.1,IN_137_1,J114,J_114,IJ,true,true,,TOP,119
2,IN137,IN_137,J114,J_114,IJ,true,true,,TOP,119
2,IN140,IN_140,J113.2,J_113_2,IJ,true,true,,TOP,120
2,IN136,IN_136,J113.1,J_113_1,IJ,true,true,,TOP,121
2,J112,J_112,J113,J_113,JJ,true,true,,TOP,122
2,IN134,IN_134,J112,J_112,IJ,true,true,,TOP,123
2,IN133,IN_133,J112,J_112,IJ,true,true,,TOP,123
2,IN131,IN_131,J111,J_111,IJ,true,true,,TOP,124
2,IN132,IN_132,J111,J_111,IJ,true,true,,TOP,124
2,IN130.4,IN_130_4,J110.3,J_110_3,IJ,true,true,,TOP,125
2,IN130.5,IN_130_5,J110.3,J_110_3,IJ,true,true,,TOP,125
2,J110.1,J_110_1,J110.2,J_110_2,JJ,true,true,,TOP,126
2,J110,J_110,J110.2,J_110_2,JJ,true,true,,TOP,126
2,IN130.2,IN_130_2,J110.1,J_110_1,IJ,true,false,missing_inlet_source,TOP,127
2,IN130.3,IN_130_3,J110.1,J_110_1,IJ,true,false,missing_inlet_source,TOP,127
2,J108.4,J_108_4,J110,J_110,JJ,true,true,,TOP,128
2,J109.2,J_109_2,J110,J_110,JJ,true,true,,TOP,128
2,IN130.1,IN_130_1,J109.2,J_109_2,IJ,true,true,,TOP,129
2,J109.1,J_109_1,J109.2,J_109_2,JJ,true,true,,TOP,129
2,IN129.2,IN_129_2,J109.1,J_109_1,IJ,true,false,missing_inlet_source,TOP,130
2,IN129,IN_129,J109,J_109,IJ,true,true,,TOP,131
2,IN129.1,IN_129_1,J109,J_109,IJ,true,true,,TOP,131
2,J108.1,J_108_1,J108.4,J_108_4,JJ,true,true,,TOP,132
2,J108.3,J_108_3,J108.4,J_108_4,JJ,true,true,,TOP,132
2,IN128.2,IN_128_2,J108.3,J_108_3,IJ,true,false,missing_inlet_source,TOP,133
2,IN128.1,IN_128_1,J108.2,J_108_2,IJ,true,true,,TOP,134
2,IN127.2,IN_127_2,J108.1,J_108_1,IJ,true,true,,TOP,135
2,IN127.1,IN_127_1,J108,J_108,IJ,true,true,,TOP,136
2,J106,J_106,J107,J_107,JJ,true,true,,TOP,137
2,J104,J_104,J107,J_107,JJ,true,true,,TOP,137
2,IN125,IN_125,J106,J_106,IJ,true,true,,TOP,138
2,IN126,IN_126,J106,J_106,IJ,true,true,,TOP,138
