basin_index,source_row,raw_id,swmm_id,rim_elev,soffit_elev,diameter_in,invert_elev,downstream_pipe_length_ft,data_complete,missing_fields,notes_applied
,406,109.2,J_109_2,400.82,,24.0,,554.0,false,AC,HYDROLOGY + manual overrides where provided
,41,11,J_11,417.6,411.73,30.0,409.23,50.0,true,,HYDROLOGY + manual overrides where provided
,407,110,J_110,400.95,,48.0,,73.0,false,AC,HYDROLOGY + manual overrides where provided
,411,110.1,J_110_1,399.51,,18.0,,659.0,false,AC,HYDROLOGY + manual overrides where provided
,412,110.2,J_110_2,400.95,,48.0,,115.0,false,AC,HYDROLOGY + manual overrides where provided
,415,110.3,J_110_3,400.69,,48.0,,415.0,false,AC,HYDROLOGY + manual overrides where provided
,418,111,J_111,396.9,385.69,48.0,381.69,108.0,true,,HYDROLOGY + manual overrides where provided
,422,112,J_112,394.57,389.03,18.0,387.53,572.0,true,,HYDROLOGY + manual overrides where provided
,424,113,J_113,393.5,388.66,24.0,386.66,18.0,true,,HYDROLOGY + manual overrides where provided
,426,113.1,J_113_1,393.48,388.63,24.0,386.63,133.0,true,,HYDROLOGY + manual overrides where provided
,428,113.2,J_113_2,395.0,,24.0,,27.0,false,AC,HYDROLOGY + manual overrides where provided
,432,114,J_114,396.81,,18.0,,241.0,false,AC,HYDROLOGY + manual overrides where provided
,435,114.1,J_114_1,396.5,,18.0,,120.0,false,AC,HYDROLOGY + manual overrides where provided
,437,114.2,J_114_2,395.04,,24.0,,71.0,false,AC,HYDROLOGY + manual overrides where provided
,438,115,J_115,395.0,388.79,30.0,386.29,1329.0,true,,HYDROLOGY + manual overrides where provided
,441,116,J_116,398.7,,18.0,,890.0,false,AC,HYDROLOGY + manual overrides where provided
,442,117,J_117,396.86,386.19,48.0,382.19,813.0,true,,HYDROLOGY + manual overrides where provided
,447,118,J_118,393.65,385.08,18.0,383.58,188.0,true,,HYDROLOGY + manual overrides where provided
,448,119,J_119,394.26,385.33,48.0,381.33,479.0,true,,HYDROLOGY + manual overrides where provided
,44,12,J_12,419.78,414.19,18.0,412.69,356.0,true,,HYDROLOGY + manual overrides where provided
,451,120,J_120,392.15,387.13,24.0,385.13,178.0,true,,HYDROLOGY + manual overrides where provided
,453,121,J_121,392.8,384.58,54.0,380.08,93.0,true,,HYDROLOGY + manual overrides where provided
,457,122,J_122,402.03,397.95,24.0,395.95,26.0,true,,HYDROLOGY + manual overrides where provided
,459,123,J_123,401.51,395.85,24.0,393.85,394.0,true,,HYDROLOGY + manual overrides where provided
,461,124,J_124,400.44,392.79,24.0,390.79,662.0,true,,HYDROLOGY + manual overrides where provided
,464,125,J_125,394.71,388.63,18.0,387.13,105.0,true,,HYDROLOGY + manual overrides where provided
,467,126,J_126,394.49,388.9,24.0,386.9,270.0,true,,HYDROLOGY + manual overrides where provided
,468,127,J_127,394.73,388.88,30.0,386.38,700.0,true,,HYDROLOGY + manual overrides where provided
,471,128,J_128,392.93,385.56,30.0,383.06,629.0,true,,HYDROLOGY + manual overrides where provided
,474,129,J_129,391.6,384.69,36.0,381.69,284.0,true,,HYDROLOGY + manual overrides where provided
,46,13,J_13,418.37,413.38,18.0,411.88,264.0,true,,HYDROLOGY + manual overrides where provided
,475,130,J_130,392.8,384.52,54.0,380.02,294.0,true,,HYDROLOGY + manual overrides where provided
,477,131,J_131,390.92,383.81,60.0,378.81,541.0,true,,HYDROLOGY + manual overrides where provided
,478,132,J_132,389.94,384.0,60.0,379.0,437.0,true,,HYDROLOGY + manual overrides where provided
,481,132.1,J_132_1,388.82,382.72,48.0,378.72,67.0,true,,HYDROLOGY + manual overrides where provided
,482,133,J_133,388.82,382.95,66.0,377.45,34.0,true,,HYDROLOGY + manual overrides where provided
,484,134,J_134,388.87,,66.0,,46.0,false,AC,HYDROLOGY + manual overrides where provided
,489,134.1,J_134_1,387.0,382.35,60.0,377.35,155.0,true,,HYDROLOGY + manual overrides where provided
,494,135,J_135,390.12,383.97,18.0,382.47,474.0,true,,HYDROLOGY + manual overrides where provided
,500,136,J_136,395.95,,18.0,,526.0,false,AC,HYDROLOGY + manual overrides where provided
,503,136.1,J_136_1,398.06,,18.0,,158.0,false,AC,HYDROLOGY + manual overrides where provided
,,136.2,J_136_2,,,,,,false,AA|AC|S|V,HYDROLOGY + manual overrides where provided
,,136.3,J_136_3,,,,,,false,AA|AC|S|V,HYDROLOGY + manual overrides where provided
